frame.len,ip.len,ip.ttl,ip.proto,ip.version,tcp.srcport,tcp.dstport,tcp.len,tcp.seq,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.window_size,udp.srcport,udp.dstport,udp.length,dns.qry.type,dns.flags.response,dns.flags.recdesired,alert
54,40,128,6,4,38429,80,0,1,1,0,0,131328,,,,,,,benign
215,201,128,6,4,38429,80,161,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38429,0,1,1,0,0,6912,,,,,,,benign
1514,1500,64,6,4,80,38429,1460,1,1,0,0,6912,,,,,,,benign
269,255,64,6,4,80,38429,215,1461,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38429,80,0,162,1,0,0,131328,,,,,,,benign
54,40,128,6,4,38429,80,0,162,1,1,0,131328,,,,,,,benign
54,40,64,6,4,80,38429,0,1676,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38429,80,0,163,1,0,0,131328,,,,,,,benign
66,52,128,6,4,38430,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38430,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38430,80,0,1,1,0,0,131328,,,,,,,benign
217,203,128,6,4,38430,80,163,1,1,0,0,131328,,,,,,,benign
54,40,64,6,4,80,38430,0,1,1,0,0,6912,,,,,,,benign
1373,1359,64,6,4,80,38430,1319,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38430,80,0,164,1,1,0,130048,,,,,,,benign
54,40,64,6,4,80,38430,0,1320,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38430,80,0,165,1,0,0,130048,,,,,,,benign
66,52,128,6,4,38434,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38434,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38434,80,0,1,1,0,0,1049600,,,,,,,benign
219,205,128,6,4,38434,80,165,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38434,0,1,1,0,0,6912,,,,,,,benign
1003,989,64,6,4,80,38434,949,1,1,0,0,6912,,,,,,,benign
54,40,128,6,4,38434,80,0,166,1,1,0,1048576,,,,,,,benign
54,40,64,6,4,80,38434,0,950,1,1,0,6912,,,,,,,benign
54,40,128,6,4,38434,80,0,167,1,0,0,1048576,,,,,,,benign
66,52,128,6,4,38436,80,0,0,0,0,0,64240,,,,,,,benign
66,52,64,6,4,80,38436,0,0,1,0,0,5840,,,,,,,benign
54,40,128,6,4,38436,80,0,1,1,0,0,1049600,,,,,,,benign
218,204,128,6,4,38436,80,164,1,1,0,0,1049600,,,,,,,benign
54,40,64,6,4,80,38436,0,1,1,0,0,6912,,,,,,,benign
903,889,64,6,4,80,38436,849,1,1,0,0,6912,,,,,,,benign
